;cidade;area;quartos;banheiro;estacionamento;andar;aceita animal?;mobilhado;valor condomínio (R$);valor do aluguel (R$);imposto do imóvel (R$);seguro fiança (R$);total (R$);valores mensais (R$);valores anuais (R$)
42;Belo Horizonte;200;4;2;1;7;não aceita;sem mobilha;850;2550;9;34;3443;3400;40843
43;Belo Horizonte;45;1;1;1;5;aceita;sem mobilha;500;1631;192;12;2335;2131;25776
44;São Paulo;360;4;5;0;1;aceita;sem mobilha;4000;6410;2000;82;12490;10410;127002
45;São Paulo;40;1;1;1;10;aceita;mobilhado;978;2829;0;33;3840;3807;45717
46;Belo Horizonte;100;3;1;0;13;não aceita;sem mobilha;700;1220;10;17;1947;1920;23067
47;Porto Alegre;42;1;1;2;2;aceita;mobilhado;190;1770;17;26;2003;1960;23563
48;Campinas;250;3;3;2;1;aceita;sem mobilha;2200;1700;256;22;4178;3900;47078
49;Campinas;48;1;1;1;2;aceita;mobilhado;505;1600;59;21;2185;2105;25340
50;Rio de Janeiro;90;3;3;1;10;aceita;sem mobilha;1250;3800;147;49;5246;5050;60796
51;São Paulo;45;1;2;1;15;aceita;mobilhado;856;3900;150;50;4956;4756;57272
52;Rio de Janeiro;150;2;3;4;6;aceita;sem mobilha;1700;4000;700;52;6452;5700;69152
53;São Paulo;60;2;1;0;2;aceita;sem mobilha;200;1445;0;19;1664;1645;19759
54;São Paulo;31;1;1;0;4;aceita;sem mobilha;370;2350;56;30;2806;2720;32726
55;São Paulo;210;4;5;4;4;não aceita;sem mobilha;1650;9000;772;115;11540;10650;128687
56;São Paulo;280;3;1;2;-;aceita;sem mobilha;0;6000;113;91;6204;6000;72204
57;Campinas;93;2;3;2;9;aceita;sem mobilha;663;5500;133;70;6366;6163;74159
58;Porto Alegre;75;3;2;1;9;aceita;sem mobilha;340;1800;109;27;2276;2140;25816
59;São Paulo;194;3;4;3;-;aceita;sem mobilha;0;4000;70;61;4131;4000;48131
60;São Paulo;41;1;1;1;6;aceita;mobilhado;523;4000;131;51;4705;4523;54458
61;Rio de Janeiro;65;1;1;1;8;aceita;mobilhado;2000;5100;250;66;7416;7100;85516
62;São Paulo;70;2;1;1;13;aceita;sem mobilha;761;2150;67;28;3006;2911;35027
63;São Paulo;278;4;5;2;16;aceita;mobilhado;4052;9000;1261;115;14430;13052;158000
64;Rio de Janeiro;35;1;1;0;5;aceita;sem mobilha;306;1521;21;20;1868;1827;21965
65;Campinas;300;4;4;3;2;aceita;sem mobilha;2300;6000;417;77;8794;8300;100094
66;São Paulo;61;2;1;1;4;aceita;sem mobilha;459;1850;0;24;2333;2309;27732
67;Rio de Janeiro;130;3;2;1;7;aceita;sem mobilha;1660;1700;475;22;3857;3360;40817
68;Rio de Janeiro;80;2;1;1;20;aceita;sem mobilha;500;900;90;12;1502;1400;16902
69;São Paulo;164;4;4;2;6;não aceita;sem mobilha;2159;5000;386;64;7609;7159;86358
70;Belo Horizonte;220;4;2;3;3;aceita;sem mobilha;450;2422;125;33;3030;2872;34622
71;São Paulo;45;1;1;0;-;aceita;sem mobilha;0;1050;46;16;1112;1050;12662
72;São Paulo;108;3;2;2;7;aceita;sem mobilha;1290;5600;435;71;7396;6890;83186
73;Belo Horizonte;128;1;1;0;4;aceita;mobilhado;418;2100;182;28;2728;2518;30426
74;Rio de Janeiro;60;1;1;0;10;não aceita;sem mobilha;450;1800;48;24;2322;2250;27072
75;São Paulo;250;4;5;4;6;aceita;sem mobilha;2050;9800;998;125;12970;11850;143323
76;Porto Alegre;47;1;1;1;1;não aceita;mobilhado;400;2200;0;33;2633;2600;31233
77;Belo Horizonte;170;4;3;4;9;não aceita;sem mobilha;744;2700;296;36;3776;3444;41660
78;São Paulo;45;1;1;0;1;não aceita;sem mobilha;300;1240;0;16;1556;1540;18496
79;São Paulo;42;1;1;1;15;aceita;sem mobilha;686;3500;123;45;4354;4186;50400
80;São Paulo;164;4;4;3;1;aceita;sem mobilha;1840;6000;550;77;8467;7840;94707
81;São Paulo;70;3;1;1;1;aceita;sem mobilha;700;1020;200;13;1933;1720;20853
82;Porto Alegre;100;4;3;1;8;aceita;sem mobilha;600;2200;159;33;2992;2800;33792
83;São Paulo;64;2;2;2;4;aceita;mobilhado;1300;4500;440;58;6298;5800;70098
84;Belo Horizonte;68;2;1;1;3;aceita;sem mobilha;320;1200;27;16;1563;1520;18283
85;Belo Horizonte;75;2;2;2;14;não aceita;sem mobilha;620;2500;264;34;3418;3120;37738
86;São Paulo;600;4;4;4;9;aceita;sem mobilha;7400;8500;3368;108;19380;15900;194276
87;São Paulo;63;2;2;0;15;não aceita;sem mobilha;590;1550;152;20;2312;2140;25852
88;São Paulo;145;3;4;3;1;não aceita;sem mobilha;1200;6000;750;77;8027;7200;87227
89;São Paulo;85;2;2;2;3;não aceita;sem mobilha;1500;2800;292;36;4628;4300;51928
90;São Paulo;254;4;4;4;7;aceita;sem mobilha;3366;9000;1800;115;14280;12366;150307
91;Porto Alegre;350;4;4;4;-;aceita;mobilhado;1;9000;359;160;9520;9001;108531
92;São Paulo;300;4;4;3;-;aceita;sem mobilha;0;3500;584;53;4137;3500;42637
93;Belo Horizonte;296;4;3;2;-;aceita;sem mobilha;0;13500;423;222;14150;13500;162645
94;São Paulo;64;2;2;2;8;aceita;sem mobilha;450;2800;30;36;3316;3250;39066
95;São Paulo;133;3;2;0;6;aceita;sem mobilha;813;2957;38;38;3846;3770;45316
96;Campinas;44;1;1;0;7;aceita;sem mobilha;350;550;12;7;919;900;10819
97;Campinas;240;3;4;2;-;aceita;sem mobilha;0;3000;250;46;3296;3000;36296
98;Porto Alegre;70;3;2;1;4;aceita;sem mobilha;490;2500;8;37;3035;2990;35925
99;São Paulo;22;1;1;0;26;aceita;sem mobilha;302;2050;45;26;2423;2352;28295
100;Porto Alegre;50;1;1;1;1;aceita;sem mobilha;350;950;50;14;1364;1300;15664
101;Porto Alegre;67;3;2;2;4;aceita;sem mobilha;600;2200;50;33;2883;2800;33683
102;São Paulo;31;1;1;0;6;aceita;mobilhado;430;2300;0;30;2760;2730;32790
103;Rio de Janeiro;90;2;1;1;1;aceita;mobilhado;850;3468;191;45;4554;4318;52052
104;Rio de Janeiro;109;3;3;1;1;aceita;sem mobilha;2000;3800;300;49;6149;5800;69949
105;Belo Horizonte;400;4;2;2;-;não aceita;sem mobilha;0;2500;74;41;2615;2500;30115
106;São Paulo;300;4;5;4;-;aceita;mobilhado;0;14000;1167;211;15380;14000;169378
107;Campinas;284;4;3;3;4;aceita;sem mobilha;2340;6000;483;77;8900;8340;100640
108;Porto Alegre;70;2;1;1;3;aceita;mobilhado;360;2400;30;36;2826;2760;33186
109;Rio de Janeiro;309;4;5;4;7;aceita;sem mobilha;2661;6500;682;84;9927;9161;110698
110;São Paulo;70;2;1;0;-;aceita;sem mobilha;0;2100;134;32;2266;2100;25366
111;São Paulo;360;3;4;1;10;aceita;sem mobilha;2300;10000;584;127;13010;12300;148311
112;São Paulo;30;1;1;1;10;não aceita;sem mobilha;886;1500;0;20;2406;2386;28652
113;Campinas;80;2;2;2;11;aceita;sem mobilha;832;2200;171;28;3231;3032;36583
114;Belo Horizonte;133;4;4;3;6;não aceita;sem mobilha;1500;7000;800;94;9394;8500;102894
115;São Paulo;38;1;1;1;14;não aceita;mobilhado;1620;2800;279;36;4735;4420;53355
116;São Paulo;73;2;2;1;7;aceita;sem mobilha;1100;3500;100;45;4745;4600;55345
117;São Paulo;155;3;4;2;4;aceita;sem mobilha;1500;2000;150;26;3676;3500;42176
118;São Paulo;63;2;2;1;15;aceita;sem mobilha;357;3200;50;41;3648;3557;42775
119;São Paulo;58;2;1;1;1;aceita;sem mobilha;0;1400;0;18;1418;1400;16818
120;São Paulo;48;1;1;0;9;não aceita;mobilhado;377;3450;0;44;3871;3827;45968
121;São Paulo;210;3;4;3;7;aceita;sem mobilha;1700;2790;834;36;5360;4490;54750
122;Belo Horizonte;100;3;2;2;2;aceita;sem mobilha;340;1600;183;22;2145;1940;23485
123;São Paulo;94;3;2;2;1;aceita;sem mobilha;1337;3570;140;46;5093;4907;59070
124;São Paulo;94;3;3;2;3;aceita;mobilhado;1220;5010;395;64;6689;6230;75219
125;São Paulo;76;3;1;1;4;aceita;sem mobilha;1200;2500;267;32;3999;3700;44699
126;São Paulo;192;3;3;2;13;aceita;sem mobilha;2100;7800;634;99;10630;9900;119533
127;São Paulo;217;3;4;3;1;aceita;sem mobilha;2884;6500;0;83;9467;9384;112691
128;São Paulo;68;2;1;1;5;aceita;sem mobilha;610;1400;35;18;2063;2010;24173
129;São Paulo;110;3;2;2;2;aceita;sem mobilha;1145;2400;247;31;3823;3545;42818
130;Belo Horizonte;95;2;2;1;3;aceita;sem mobilha;660;1600;164;22;2446;2260;27306
131;São Paulo;900;4;6;8;-;aceita;sem mobilha;0;15000;4417;226;19640;15000;184643
132;São Paulo;34;1;1;0;5;não aceita;sem mobilha;347;1200;45;16;1608;1547;18625
133;São Paulo;192;3;4;3;5;aceita;sem mobilha;2000;8000;0;102;10100;10000;120102
134;Porto Alegre;62;2;2;1;9;aceita;sem mobilha;350;1800;75;27;2252;2150;25902
135;São Paulo;180;3;3;4;-;aceita;sem mobilha;0;3700;184;56;3940;3700;44640
136;Campinas;44;1;1;0;3;aceita;mobilhado;350;916;12;12;1290;1266;15216
137;Belo Horizonte;100;2;1;1;1;não aceita;sem mobilha;250;1700;116;23;2089;1950;23539
138;Rio de Janeiro;140;3;3;1;24;não aceita;sem mobilha;900;1370;100;18;2388;2270;27358
139;São Paulo;170;3;3;3;8;aceita;mobilhado;1570;2800;648;36;5054;4370;53124
140;São Paulo;100;3;2;2;-;não aceita;sem mobilha;0;1600;150;25;1775;1600;19375
141;São Paulo;75;3;2;2;4;aceita;sem mobilha;652;1600;82;21;2355;2252;27127
142;Rio de Janeiro;52;2;1;0;2;aceita;sem mobilha;200;1200;43;16;1459;1400;16859
143;Campinas;999;5;7;8;-;aceita;sem mobilha;0;14000;667;211;14880;14000;168878
144;São Paulo;270;4;4;4;8;aceita;sem mobilha;2200;7000;1500;89;10790;9200;111989
145;Belo Horizonte;50;2;1;1;1;aceita;sem mobilha;160;930;60;13;1163;1090;13153
146;Campinas;200;3;3;2;-;aceita;sem mobilha;650;2210;184;34;3078;2860;34538
147;São Paulo;71;2;2;0;16;aceita;sem mobilha;430;1920;100;25;2475;2350;28325
148;São Paulo;500;5;4;6;-;aceita;sem mobilha;0;13000;250;196;13450;13000;156446
149;São Paulo;60;2;1;0;-;aceita;sem mobilha;0;1080;94;17;1191;1080;13071
150;São Paulo;110;2;1;0;8;aceita;sem mobilha;1100;1300;84;17;2501;2400;28901
151;São Paulo;210;3;3;4;-;aceita;sem mobilha;0;3294;276;50;3620;3294;39854
152;São Paulo;220;3;4;3;8;aceita;sem mobilha;2021;6000;996;77;9094;8021;97325
153;Belo Horizonte;200;3;2;5;-;não aceita;sem mobilha;0;4000;204;66;4270;4000;48270
154;São Paulo;130;3;4;3;2;aceita;sem mobilha;2300;4250;502;54;7106;6550;79156
155;São Paulo;65;2;2;2;7;aceita;mobilhado;1037;4000;245;51;5333;5037;60740
156;São Paulo;96;3;2;2;17;aceita;sem mobilha;804;3200;250;41;4295;4004;48339
157;São Paulo;660;4;5;5;12;aceita;mobilhado;4800;20000;1750;254;26800;24800;299604
158;Rio de Janeiro;107;3;2;0;7;aceita;mobilhado;1460;3200;270;42;4972;4660;56232
159;Rio de Janeiro;105;3;2;0;1;aceita;sem mobilha;740;2200;9;29;2978;2940;35318
160;Rio de Janeiro;100;3;2;0;7;aceita;sem mobilha;900;3290;109;43;4342;4190;50432
161;São Paulo;287;3;4;4;-;aceita;mobilhado;0;9000;430;136;9566;9000;108566
162;Campinas;24;1;1;0;1;não aceita;mobilhado;230;1180;9;15;1434;1410;16944
163;São Paulo;22;1;1;0;-;não aceita;sem mobilha;0;976;0;15;991;976;11727
164;São Paulo;70;1;1;1;-;não aceita;sem mobilha;0;2529;142;39;2710;2529;30529
165;Porto Alegre;44;1;1;1;2;aceita;mobilhado;250;1500;17;22;1789;1750;21039
166;São Paulo;150;3;2;2;-;não aceita;sem mobilha;0;2500;0;38;2538;2500;30038
167;São Paulo;90;1;2;2;9;aceita;mobilhado;998;2900;220;37;4155;3898;47033
168;São Paulo;200;4;4;2;8;aceita;mobilhado;3000;2800;830;36;6666;5800;70466
169;São Paulo;320;8;4;0;-;aceita;sem mobilha;450;10500;350;158;11460;10950;131908
170;Porto Alegre;90;2;1;1;2;não aceita;sem mobilha;550;1700;110;25;2385;2250;27135
171;São Paulo;240;4;4;3;9;aceita;sem mobilha;2500;2144;834;28;5506;4644;56590
172;São Paulo;154;4;3;3;21;aceita;sem mobilha;1684;7000;1020;89;9793;8684;105317
173;São Paulo;60;2;2;2;2;aceita;sem mobilha;2340;3230;284;41;5895;5570;67165
174;Campinas;101;3;2;0;5;aceita;sem mobilha;780;2380;91;31;3282;3160;38042
175;Porto Alegre;140;3;4;2;-;não aceita;sem mobilha;0;3090;0;55;3145;3090;37135
176;São Paulo;500;4;5;8;-;aceita;sem mobilha;0;15000;1850;226;17080;15000;182076
177;São Paulo;110;3;3;3;4;aceita;sem mobilha;1195;2350;687;30;4262;3545;43257
178;São Paulo;110;3;3;2;-;aceita;sem mobilha;0;4800;50;73;4923;4800;57723
179;Belo Horizonte;90;2;2;2;3;aceita;sem mobilha;200;2000;84;27;2311;2200;26511
180;São Paulo;384;4;6;4;3;não aceita;mobilhado;3500;15000;344;191;19040;18500;222535
181;São Paulo;57;2;1;1;7;aceita;sem mobilha;570;1500;67;20;2157;2070;24927
182;São Paulo;160;3;3;2;5;aceita;mobilhado;1650;1500;419;20;3589;3150;38239
183;São Paulo;39;1;1;0;8;aceita;sem mobilha;330;1250;19;16;1615;1580;18995
184;Campinas;78;1;2;1;4;aceita;sem mobilha;0;2290;143;30;2463;2290;27653
185;Porto Alegre;36;1;1;1;-;aceita;sem mobilha;0;762;15;14;791;762;9173
186;Campinas;70;2;1;1;1;aceita;sem mobilha;558;1200;0;16;1774;1758;21112
187;Belo Horizonte;45;1;1;1;4;não aceita;mobilhado;300;3200;0;43;3543;3500;42043
188;São Paulo;200;3;4;3;1;aceita;sem mobilha;3500;8500;1250;108;13360;12000;145358
189;São Paulo;100;3;3;3;-;aceita;sem mobilha;0;4300;120;65;4485;4300;51785
190;São Paulo;42;1;1;1;14;não aceita;sem mobilha;0;5000;0;64;5064;5000;60064
191;São Paulo;280;4;4;1;1;aceita;mobilhado;3000;8000;292;102;11390;11000;132394
192;São Paulo;28;1;1;1;13;não aceita;mobilhado;615;2800;42;36;3493;3415;41058
193;São Paulo;30;1;1;0;-;não aceita;mobilhado;296;1826;30;24;2176;2122;25518
194;Belo Horizonte;85;3;2;1;1;aceita;sem mobilha;337;1500;88;20;1945;1837;22152
195;Campinas;83;1;1;1;4;não aceita;sem mobilha;500;1080;59;14;1653;1580;19033
196;Campinas;85;3;2;2;16;aceita;mobilhado;550;3300;150;42;4042;3850;46392
197;Belo Horizonte;90;3;2;2;3;aceita;sem mobilha;325;1600;105;22;2052;1925;23227
198;Belo Horizonte;50;2;1;0;5;aceita;sem mobilha;0;900;100;12;1012;900;10912
199;Rio de Janeiro;50;1;1;0;8;aceita;sem mobilha;600;2900;134;38;3672;3500;42172
200;Belo Horizonte;300;3;2;3;-;não aceita;sem mobilha;0;6700;539;110;7349;6700;81049
201;Porto Alegre;39;1;1;0;7;aceita;sem mobilha;350;850;27;13;1240;1200;14440
202;São Paulo;750;4;4;6;-;aceita;sem mobilha;0;15000;2084;226;17310;15000;182310
203;Porto Alegre;60;2;1;0;1;aceita;sem mobilha;222;1100;46;17;1385;1322;15927
204;Rio de Janeiro;68;2;1;0;4;não aceita;sem mobilha;750;1250;9;17;2026;2000;24026
205;São Paulo;70;2;1;1;-;aceita;sem mobilha;230;1250;50;16;1546;1480;17826
206;São Paulo;90;2;2;1;6;aceita;mobilhado;900;6500;89;83;7572;7400;88972
207;Rio de Janeiro;258;5;6;0;-;aceita;sem mobilha;0;8700;670;133;9503;8700;105203
208;São Paulo;200;2;2;6;-;aceita;sem mobilha;0;4500;292;68;4860;4500;54360
209;São Paulo;123;2;2;2;6;aceita;sem mobilha;1800;2990;625;38;5453;4790;58143
210;São Paulo;127;3;2;2;-;aceita;mobilhado;220;2150;67;33;2470;2370;28540
211;Belo Horizonte;180;4;2;2;-;aceita;sem mobilha;0;1800;210;30;2040;1800;21840
212;São Paulo;110;3;2;0;-;não aceita;sem mobilha;0;2900;384;44;3328;2900;35228
213;Rio de Janeiro;70;2;2;1;7;aceita;mobilhado;585;1719;77;23;2404;2304;27748
214;São Paulo;35;1;1;1;8;aceita;mobilhado;720;3000;130;39;3889;3720;44809
215;São Paulo;219;3;2;2;-;aceita;sem mobilha;0;2900;150;44;3094;2900;34994
216;Rio de Janeiro;25;1;1;0;-;aceita;sem mobilha;50;700;0;10;760;750;9010
217;Rio de Janeiro;170;4;5;0;10;aceita;sem mobilha;1200;7100;639;92;9031;8300;100331
218;Rio de Janeiro;45;1;1;0;8;aceita;sem mobilha;900;1570;98;21;2589;2470;29759
219;Belo Horizonte;420;4;4;2;-;não aceita;sem mobilha;0;7000;200;115;7315;7000;84315
220;Porto Alegre;46;1;1;0;4;aceita;sem mobilha;0;1040;48;16;1104;1040;12544
221;São Paulo;145;3;3;2;1;aceita;mobilhado;1088;5800;250;74;7212;6888;82980
222;Belo Horizonte;59;2;2;1;2;aceita;sem mobilha;190;1100;59;15;1364;1290;15554
223;Belo Horizonte;225;4;3;0;8;aceita;sem mobilha;1850;7500;466;100;9916;9350;112766
224;São Paulo;210;4;4;3;3;aceita;sem mobilha;2270;4675;1110;60;8115;6945;84510
225;Porto Alegre;76;1;1;0;-;aceita;sem mobilha;209;1249;52;19;1529;1458;17567
226;São Paulo;220;3;4;3;2;não aceita;sem mobilha;2500;5150;1250;66;8966;7650;93116
227;São Paulo;109;3;2;2;7;aceita;sem mobilha;1746;2500;134;32;4412;4246;51118
228;Belo Horizonte;95;2;1;1;3;aceita;sem mobilha;646;1000;120;14;1780;1646;19886
229;São Paulo;32;1;1;0;-;não aceita;sem mobilha;280;1500;50;20;1850;1780;21430
230;São Paulo;480;4;6;5;9;aceita;sem mobilha;6660;15000;3063;191;24910;21660;263174
231;São Paulo;53;1;1;1;3;aceita;sem mobilha;694;4390;200;56;5340;5084;61264
232;São Paulo;40;1;1;0;-;não aceita;sem mobilha;0;780;17;12;809;780;9389
233;São Paulo;50;1;1;1;4;aceita;mobilhado;500;3223;100;41;3864;3723;44817
234;São Paulo;60;1;1;0;-;aceita;sem mobilha;0;1300;255;20;1575;1300;15875
235;Porto Alegre;64;2;2;2;7;não aceita;sem mobilha;450;1500;50;22;2022;1950;23472
236;Rio de Janeiro;140;3;3;2;4;aceita;mobilhado;2280;12000;535;155;14970;14280;172050
237;São Paulo;121;3;3;1;12;aceita;sem mobilha;800;2040;334;26;3200;2840;34440
238;Campinas;43;1;1;1;4;aceita;mobilhado;498;2100;84;27;2709;2598;31287
239;São Paulo;20;1;1;1;3;não aceita;mobilhado;1700;1360;0;18;3078;3060;36738
240;Campinas;58;2;1;1;3;aceita;sem mobilha;289;950;11;13;1263;1239;14892
241;Belo Horizonte;570;5;6;7;-;aceita;mobilhado;0;8330;873;137;9340;8330;100970
242;São Paulo;88;2;1;1;2;aceita;sem mobilha;980;2790;0;36;3806;3770;45276
243;São Paulo;89;3;2;2;19;aceita;sem mobilha;900;6000;184;77;7161;6900;83061
244;Porto Alegre;47;1;1;1;1;não aceita;mobilhado;400;2200;0;33;2633;2600;31233
245;São Paulo;40;1;1;0;-;aceita;sem mobilha;0;1100;50;17;1167;1100;13267
246;Rio de Janeiro;40;1;1;0;1;aceita;mobilhado;386;1950;91;26;2453;2336;28149
247;Rio de Janeiro;60;1;2;1;3;aceita;sem mobilha;400;750;80;10;1240;1150;13890
248;São Paulo;25;1;1;0;14;aceita;sem mobilha;257;1650;0;21;1928;1907;22905
249;Porto Alegre;50;2;1;0;13;aceita;sem mobilha;340;1130;30;17;1517;1470;17687
250;Porto Alegre;90;3;1;0;1;aceita;sem mobilha;145;1130;55;17;1347;1275;15372
251;São Paulo;173;3;3;3;2;aceita;sem mobilha;3000;2000;825;26;5851;5000;60851
252;Campinas;91;3;2;2;12;aceita;sem mobilha;700;2250;175;29;3154;2950;35604
253;São Paulo;90;3;2;2;6;não aceita;sem mobilha;1710;1200;109;16;3035;2910;35045
254;São Paulo;530;5;6;4;2;aceita;mobilhado;8300;15000;5000;191;28490;23300;284791
255;Belo Horizonte;155;1;4;0;4;não aceita;sem mobilha;1117000;2790;64;38;1120000;1119790;13437582
256;São Paulo;40;1;1;0;-;não aceita;sem mobilha;0;1300;0;17;1317;1300;15617
257;São Paulo;296;4;5;3;3;aceita;sem mobilha;0;15000;0;191;15190;15000;180191
258;São Paulo;87;3;2;1;17;aceita;sem mobilha;850;1400;200;18;2468;2250;27218
259;São Paulo;300;3;3;5;-;aceita;sem mobilha;0;5000;584;76;5660;5000;60660
260;São Paulo;136;3;3;3;13;aceita;sem mobilha;1430;4206;364;54;6054;5636;68050
261;São Paulo;52;2;1;0;4;aceita;sem mobilha;0;1340;0;17;1357;1340;16097
262;Porto Alegre;94;2;2;2;8;aceita;sem mobilha;600;2900;230;43;3773;3500;42273
263;Rio de Janeiro;300;4;5;3;7;aceita;sem mobilha;3850;12750;750;165;17520;16600;200115
264;Rio de Janeiro;100;3;3;1;3;aceita;sem mobilha;850;3229;100;42;4221;4079;49090
265;São Paulo;500;4;6;3;-;aceita;sem mobilha;6466;7300;2536;110;16410;13766;167838
266;São Paulo;240;3;4;3;3;aceita;mobilhado;3600;4950;1000;63;9613;8550;103663
267;Belo Horizonte;308;2;3;3;-;aceita;sem mobilha;0;2000;171;33;2204;2000;24204
268;São Paulo;350;4;5;4;15;aceita;mobilhado;2700;4590;1334;59;8683;7290;88873
269;São Paulo;75;2;2;0;2;aceita;sem mobilha;570;1450;0;19;2039;2020;24259
270;São Paulo;155;3;2;3;4;aceita;mobilhado;2600;11700;667;149;15120;14300;172416
271;São Paulo;260;3;5;4;12;aceita;sem mobilha;2227;6000;1468;77;9772;8227;100269
272;São Paulo;80;2;2;1;-;não aceita;sem mobilha;0;1500;184;23;1707;1500;18207
273;Rio de Janeiro;85;3;1;1;6;aceita;sem mobilha;810;1998;87;26;2921;2808;33809
274;São Paulo;120;2;2;2;22;não aceita;mobilhado;1400;3500;375;45;5320;4900;59220
275;São Paulo;100;2;2;1;-;aceita;sem mobilha;0;1970;0;30;2000;1970;23670
276;São Paulo;240;4;5;4;6;não aceita;sem mobilha;1869;3500;717;45;6131;5369;65190
277;São Paulo;360;7;6;6;-;aceita;sem mobilha;0;5270;245;80;5595;5270;63565
278;São Paulo;42;1;1;0;-;não aceita;sem mobilha;0;1100;0;17;1117;1100;13217
279;São Paulo;33;1;1;1;14;aceita;mobilhado;600;2800;112;36;3548;3400;40948
280;Rio de Janeiro;48;1;1;0;1;não aceita;sem mobilha;626;1020;53;14;1713;1646;19819
281;Rio de Janeiro;36;1;1;0;5;aceita;sem mobilha;350;1130;42;15;1537;1480;17817
282;São Paulo;270;6;3;6;-;aceita;sem mobilha;0;4500;417;68;4985;4500;54485
283;Campinas;75;2;1;1;2;aceita;sem mobilha;670;1200;121;16;2007;1870;22577
284;Rio de Janeiro;46;2;1;0;3;não aceita;sem mobilha;270;1600;0;21;1891;1870;22461
